,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Disease_in_arabic,Precaution_1_in_arabic,Precaution_2_in_arabic,Precaution_3_in_arabic,Precaution_4_in_arabic
0,drug reaction,consult nearest hospital,follow up,stop irritation,stop taking drug,رد فعل المخدرات,استشر أقرب مستشفى,متابعة,توقف عن التهيج,توقف عن تناول المخدرات
1,malaria,consult nearest hospital,avoid non veg food,avoid oily food,keep mosquitos out,ملاريا,استشر أقرب مستشفى,تجنب الطعام غير الخضار,تجنب الطعام الدهنية,الحفاظ على البعوض خارج
2,allergy,apply calamine,cover area with bandage,use ice to compress itching,,حساسية,تطبيق كالامين,منطقة الغلاف مع ضمادة,استخدم الجليد لضغط الحكة,
3,hypothyroidism,eat healthy,exercise,get proper sleep,reduce stress,قصور الغدة الدرقية,تناول طعام صحي,ممارسه الرياضه,احصل على نوم مناسب,الحد من التوتر
4,psoriasis,consult doctor,salt baths,stop bleeding using pressure,wash hands with warm soapy water,صدفية,استشارة الطبيب,حمامات الملح,توقف عن النزيف باستخدام الضغط,اغسل اليدين بماء صابون دافئ
5,gerd,avoid fatty spicy food,avoid lying down after eating,exercise,maintain healthy weight,ارتجاع المريء,تجنب الطعام الحار الدهني,تجنب الاستلقاء بعد الأكل,ممارسه الرياضه,الحفاظ على الوزن الصحي
6,chronic cholestasis,anti itch medicine,cold baths,consult doctor,eat healthy,ركود الصفراوي المزمن,الطب المضاد للحكة,الحمامات الباردة,استشارة الطبيب,تناول طعام صحي
7,hepatitis a,consult nearest hospital,avoid fatty spicy food,medication,wash hands through,التهاب الكبد,استشر أقرب مستشفى,تجنب الطعام الحار الدهني,أدوية,اغسل اليدين
8,osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,التهاب المفصل العظمى,أسِيتامينُوفين,استشر أقرب مستشفى,متابعة,حمامات الملح
9,(vertigo) paroymsal  positional vertigo,avoid abrupt head movment,avoid sudden change in body,lie down,relax,دوار موضعي خفيف,تجنب نقل الرأس المفاجئ,تجنب التغيير المفاجئ في الجسم,تستلقي,يستريح
10,hypoglycemia,check in pulse,consult doctor,drink sugary drinks,lie down on side,نقص سكر الدم,تحقق في النبض,استشارة الطبيب,شرب المشروبات السكرية,استلقي على الجانب
11,acne,avoid fatty spicy food,avoid too many products,bath twice,drink plenty of water,حَبُّ الشّبَاب,تجنب الطعام الحار الدهني,تجنب الكثير من المنتجات,حمام مرتين,اشرب الكثير من الماء
12,diabetes,consult doctor,exercise,follow up,have balanced diet,داء السكري,استشارة الطبيب,ممارسه الرياضه,متابعة,لديك نظام غذائي متوازن
13,impetigo,consult doctor,remove scabs with wet compressed cloth,soak affected area in warm water,use antibiotics,الضيق,استشارة الطبيب,قم بإزالة الجربات بقطعة قماش مضغوطة مبللة,نقع المنطقة المصابة في الماء الدافئ,استخدام المضادات الحيوية
14,hypertension,get proper sleep,meditation,reduce stress,salt baths,ارتفاع ضغط الدم,احصل على نوم مناسب,تأمل,الحد من التوتر,حمامات الملح
15,peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,مرض القرحة الهضمية,تجنب الطعام الحار الدهني,تستهلك طعام بروبيوتيك,القضاء على الحليب,الحد من الكحول
16,dimorphic hemmorhoids(piles),avoid fatty spicy food,consume alovera juice,consume witch hazel,warm bath with epsom salt,بواسير,تجنب الطعام الحار الدهني,استخدم عصير الصبار,تستهلك عسلي الساحرة,حمام دافئ مع ملح إبسوم
17,common cold,avoid cold food,drink vitamin c rich drinks,keep fever in check,take vapour,زُكام,تجنب الطعام البارد,اشرب المشروبات الغنية فيتامين c,حافظ على الحمى في الاختيار,خذ البخار
